MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
103381,2013,Tacoa Highwall Miner,Alabama,Bibb,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Jesse Creek Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007", ,Appalachia Southern,56004,10,22392,10.9331784
103404,2013,Reid School Mine,Alabama,Blount,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Taft Coal Sales & Associates,","3000 Riverchase Galleria Ste 1, Birmingham, AL 35244",UNIT,Appalachia Southern,28807,18,28447,10.26837369
100759,2013,North River #1 Underground Min,Alabama,Fayette,"Active, men working, not producing",Underground,Independent Producer Operator,Mine and Preparation Plant,Jim Walter Resources Inc,"3114 County Rd 63 S, Berry, AL 35546",UNIT,Appalachia Southern,1440115,183,474784,14.18023353
103246,2013,Bear Creek,Alabama,Franklin,Active,Surface,Independent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","912 Edenton Street, Birmingham, AL 35242", ,Appalachia Southern,87587,13,29193,11.38038786
103451,2013,Knight Mine,Alabama,Franklin,Active,Surface,Independent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","P.O. Box 354, Lynn, AL 35242", ,Appalachia Southern,147499,27,46393,11.90157668
103433,2013,Crane Central Mine,Alabama,Jackson,Temporarily closed,Surface,Independent Producer Operator,Mine only,Alabama Carbon Llc,"5957 Windswept Blvd, Wise, VA 24293", ,Appalachia Southern,69339,27,47195,11.1467628
100851,2013,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Mine only,Oak Grove Resources Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",UNIT,Appalachia Southern,2269014,447,1001809,14.63485593
102901,2013,Shoal Creek Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,Appalachia Southern,1453024,571,1237415,14.18915746
103180,2013,Sloan Mountain Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"M S & R Equipment Company, Inc","2600 Warrior Jasper Road, Warrior, AL 35180", ,Appalachia Southern,327780,84,196963,12.70009793
103182,2013,Fishtrap,Alabama,Jefferson,Active,Surface,Operating Subsidiary,Mine only,C&h Mining,"3699 Industrial Parkway, Jasper, AL 35501", ,Appalachia Southern,175058,30,87314,12.07287263
